id,firstName,lastName,age,gender,email,phone,username,birthDate,height,weight,eyeColor,hairColor,hairType,address,city,state,postalCode,country
1,Emily,Johnson,28,female,emily.johnson@x.dummyjson.com,+81 965-431-3024,emilys,1996-5-30,193.24,63.16,Green,Brown,Curly,626 Main Street,Phoenix,Mississippi,29112,United States
2,Michael,Williams,35,male,michael.williams@x.dummyjson.com,+49 258-627-6644,michaelw,1989-8-10,186.22,76.32,Red,Green,Straight,385 Fifth Street,Houston,Alabama,38807,United States
3,Sophia,Brown,42,female,sophia.brown@x.dummyjson.com,+81 210-652-2785,sophiab,1982-11-6,177.72,52.6,Hazel,White,Wavy,1642 Ninth Street,Washington,Alabama,32822,United States
4,James,Davis,45,male,james.davis@x.dummyjson.com,+49 614-958-9364,jamesd,1979-5-4,193.31,62.1,Amber,Blonde,Straight,238 Jefferson Street,Seattle,Pennsylvania,68354,United States
5,Emma,Miller,30,female,emma.miller@x.dummyjson.com,+91 759-776-1614,emmaj,1994-6-13,192.8,63.62,Green,White,Straight,607 Fourth Street,Jacksonville,Colorado,26593,United States
6,Olivia,Wilson,22,female,olivia.wilson@x.dummyjson.com,+91 607-295-6448,oliviaw,2002-4-20,182.61,58,Hazel,Gray,Curly,547 First Street,Fort Worth,Tennessee,83843,United States
7,Alexander,Jones,38,male,alexander.jones@x.dummyjson.com,+61 260-824-4986,alexanderj,1986-10-20,153.89,77.42,Blue,White,Straight,664 Maple Street,Indianapolis,Delaware,86684,United States
8,Ava,Taylor,27,female,ava.taylor@x.dummyjson.com,+1 458-853-7877,avat,1997-8-25,168.47,57.08,Hazel,Red,Kinky,1197 First Street,Fort Worth,Rhode Island,24771,United States
9,Ethan,Martinez,33,male,ethan.martinez@x.dummyjson.com,+92 933-608-5081,ethanm,1991-2-12,159.19,68.81,Hazel,Purple,Curly,466 Pine Street,San Antonio,Louisiana,72360,United States
10,Isabella,Anderson,31,female,isabella.anderson@x.dummyjson.com,+49 770-658-4885,isabellad,1993-6-10,150.56,50.1,Brown,Blonde,Curly,1964 Oak Street,New York,Utah,89352,United States
11,Liam,Garcia,29,male,liam.garcia@x.dummyjson.com,+92 870-217-6201,liamg,1995-6-6,162.32,93.16,Violet,Red,Wavy,576 Fifth Street,Denver,South Dakota,57252,United States
12,Mia,Rodriguez,24,female,mia.rodriguez@x.dummyjson.com,+49 989-461-8403,miar,2000-8-4,188.08,56.03,Blue,Purple,Wavy,1627 Sixth Street,Jacksonville,West Virginia,41810,United States
